,N,M,params,score
28,1500,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.3828676696346331
29,1500,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.36751611912803195
30,1500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.4111145225667793
31,1500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.40712311943506296
32,1500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.38624501074608536
33,1500,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.42032545287073997
34,1500,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.41019342953638316
35,1500,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.3905434448879337
36,2000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.35584894074301504
37,2000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.35984034387473135
38,2000,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.35615597175314706
39,2000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.39944734418176236
40,2000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.39453484801965
41,2000,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.381025483573841
42,2000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.4258520110531164
43,2000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.42032545287073997
44,2000,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.3972981271108382
45,2000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.4393613754989254
46,2000,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.42554498004298436
